报告范围=["每日"],选择日期=["2025-08-10"],,,,,,,,,,,,,,,,,,,
搜索频率排名,搜索词,点击量最高的品牌 #1,点击量最高的品牌 #2,点击量最高的品牌 #3,点击量最高的类别 #1,点击量最高的类别 #2,点击量最高的类别 #3,点击量最高的商品 #1：ASIN,点击量最高的商品 #1：商品名称,点击量最高的商品 #1：点击份额,点击量最高的商品 #1：转化份额,点击量最高的商品 #2：ASIN,点击量最高的商品 #2：商品名称,点击量最高的商品 #2：点击份额,点击量最高的商品 #2：转化份额,点击量最高的商品 #3：ASIN,点击量最高的商品 #3：商品名称,点击量最高的商品 #3：点击份额,点击量最高的商品 #3：转化份额,报告日期
1,the summer i turned pretty,,Simon & Schuster,Just Juice,Digital_Video_Download,Digital_Ebook_Purchase,Books,B0F55DL82Z,The Summer I Turned Pretty - Season 3,40.05,0,B0FG6DHCQN,Last Dance,12.86,0,B09NF5WQ5Q,The Summer I Turned Pretty,10.83,0,2025/8/10
2,tinnitus relief for ringing ears,Life Nutrition,aginize,Green Hills,Health & Personal Care,Beauty,Biss,B0FL2BZTWQ,"Life Nutrition 120 Capsules-Tinnitus Relief for Ringing Ears, Ear Health Vitamins Supports Hearing Loss and Reduces Ringing in The Ears for Men & Women",10.65,1.92,B0FG2VJ13M,"Tinnitus Relief for Ringing Ears Supplement - 1200mg, Promote Ear Comfort & Healthy Hearing, Reduces Ear Noise/Buzzing, 120 Capsules (60-Day Supply)",10.34,0,B0F8QLW38C,"Green Hills Tinnitus Relief for Ringing Ears, Natural Ear Ringing Relief for Clogged Ears,Reduce Ear Noise & Improve Hearing, 60ML",9.55,0,2025/8/10
3,paper towels,Bounty,SPARKLE,Amazon Basics,Health & Personal Care,Biss,Home,B09BWFX1L6,"Amazon Basics 2-Ply Flex-Sheets Paper Towels, 12 Basics Rolls = 32 Regular Rolls, Everyday Value with 150 Sheets per Roll",14.13,10.87,B0DF8RSVJK,"Scott Paper Towels, Choose-A-Sheet, 6 Double Rolls = 12 Regular Rolls (108 Sheets Per Roll)",9.94,9.23,B07MHJFRBJ,"Bounty Quick Size Paper Towels, White, 8 Family Rolls = 20 Regular Rolls",9.82,9.41,2025/8/10
4,toilet paper,Charmin,Scott,Amazon Basics,Health & Personal Care,Biss,Home,B07BGLT25K,"Scott ComfortPlus Toilet Paper, 12 Double Rolls, 231 Sheets per Roll, Septic-Safe, 1-Ply Toilet Tissue",16.13,14.34,B095CN96JS,"Amazon Basics 2-Ply Soft Toilet Paper, 30 Rolls (5 Packs of 6), Equivalent to 185 Regular Rolls, Packaging May Vary",11.73,9.02,B0CDZJ9JJC,Charmin Ultra Soft Toilet Paper 6 Mega Rolls = 24 Regular Rolls,6.15,6.24,2025/8/10
5,owala,OWALA,Simple Modern,,Kitchen,Outdoors,Grocery,B0BZYCJK89,"Owala FreeSip Insulated Stainless Steel Water Bottle with Straw, BPA-Free Sports Water Bottle, Great for Travel, 24 Oz, Denim",37.55,6.76,B0F2WPH4PF,"Owala Disney Princess FreeSip Insulated Stainless Steel Water Bottle with Straw for Sports and Travel, BPA-Free Sports Water Bottle, 24 oz, Rapunzel",16.78,2.84,B0FDSCPBPM,Owala FreeSip Sway - Stainless Steel - 30-oz. -Orng/Tn(Sparkling Sherbet),5.91,1.04,2025/8/10
6,boho tops for women,Zeagoo,ANRABESS,Falechay,Apparel,Shoes,Wireless,B0DJJPN62D,ANRABESS Womens Short Sleeve Henley Tops V Neck Dressy Casual Blouses Summer Trendy Tee Shirts 2025 Vacation Fashion Clothes Black L,5.27,1.43,B0FH5CLDBP,Peasant Blouses for Women Gauze Cotton 3/4 Length Sleeve Loose Fit Casual Boho Tops Summer Floral Lightweight Flowy Tees Boho Tops for Women Plus Size,4.82,0.19,B0DPQBJ1DW,Alaroo Summer Tops for Women 2025 Boho Business Casual Short Sleeve T Shirts Beach Vacation Print 16 L,4.51,1.25,2025/8/10
7,pencil case,SPACEMATE,EASTHILL,CICIMELON,Office Products,Home,Art and Craft Supplies,B08P48YL4G,CICIMELON Large Capacity Pencil Case 3 Compartment Pouch Pen Bag for School Teen Girl Boy Men Women (Pink),8.59,3.05,B0BJPDJ84Y,"WEMATE Large Pencil Case Aesthetic,Big Capacity Canvas Pencil Pouch with Zipper, Pencil Case for Women & Men, Marker Pen Case,Portable Stationery Pencil Bag for Office Light Grey",7.72,3.97,B0BZYCHWJX,"SPACEMATE Pencil Case Pouch Box Bag School Supplies Girls Boys Kids, Cute Preppy Stuff Large Big Capacity Aesthetic Pen Organizer, Back to College Stationary, Purple, Heavy Duty Canvas, 1800ml",5.86,1.26,2025/8/10
8,amazon gift card,Amazon,Visa,Roblox,Gift Card,Consumables_Physical_Gift_Cards,Consumables_Email_Gift_Cards,B07PCMWTSG,Amazon eGift Card - Amazon Logo (Animated),38.9,29.4,B09LQTPHSG,Amazon eGift Card - Bright Balloons (Animated),26.36,21.78,B0B9SJL23F,Amazon.com Gift Card for any amount in a Birthday Cake Box Blue,6.38,5.87,2025/8/10
9,jurassic world rebirth,,UNIVERSAL,Mattel,Digital_Video_Download,Video DVD,Toys,B0DH167RJQ,Jurassic World Rebirth,74.16,0,B0DGZSXR3B,Jurassic World Rebirth,12.95,0,B00ZHWHU40,Jurassic World,3.34,0,2025/8/10
10,water bottle,OWALA,POWCAN,STANLEY,Kitchen,Outdoors,Home,B085DV8T75,"Owala FreeSip Insulated Stainless Steel Water Bottle with Straw, BPA-Free Sports Water Bottle, Great for Travel, 24 Oz, Shy Marshmallow",21.37,1.99,B0D8J37DHP,"POWCAN 26 oz Insulated Water Bottle with 2-in-1 Straw and Spout Lid, Keep Cold 24H, Leak-Proof, Fits in Car Cup Holder, Stainless Steel Water Bottle for Sports, Travel, and School (Cotton Candy)",5.44,1.65,B09FPXGLGF,"Sahara Sailor Water Bottle 32oz, Durable and Leakproof Water Bottles Motivational with Time Marker, Tritan, BPA Free, Wide Mouth with Easy Clean Brush for Gym, Travel, Home, School, Office (1 Bottle)",2.88,2.38,2025/8/10
